                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0942,                 4.6172,                   1.72,                      0,                      0,                      0,                      0,                 1.7955,                 4.2609,                 1.5058,                 0.0982,                 0.0002,                 0.0002
                      1,                  2.209,                 4.6123,                  1.846,                      0,                      0,                      0,                      0,                 1.7857,                 4.2548,                 1.4966,               0.095495,             0.00049505,             0.00049505
                      2,                 2.0435,                  4.635,                 1.7423,                      0,                      0,                      0,                      0,                 1.6951,                  4.197,                 1.4347,               0.092784,             0.00078416,             0.00078416
                      3,                 1.8642,                 4.5462,                 1.5859,                      0,                      0,                      0,                      0,                 1.5276,                 4.0838,                  1.302,               0.090067,              0.0010673,              0.0010673
                      4,                 1.5818,                 4.4314,                 1.4449,                      0,                      0,                      0,                      0,                 1.0695,                 4.0099,                 1.0726,               0.087345,              0.0013446,              0.0013446
                      5,                 1.2549,                 4.2998,                 1.1931,                      0,                      0,                      0,                      0,                0.95685,                 3.9903,                 1.0059,               0.084616,              0.0016158,              0.0016158
                      6,                 1.1393,                 4.2527,                  1.159,                      0,                      0,                      0,                      0,                0.86555,                 3.9255,                0.95524,               0.081881,              0.0018812,              0.0018812
                      7,                 1.0773,                 4.0936,                 1.1149,                      0,                      0,                      0,                      0,                0.88146,                 3.8844,                0.95315,               0.079141,              0.0021406,              0.0021406
                      8,                0.95945,                 3.8381,                  1.043,                0.26797,                0.06902,                 0.1707,                0.14077,                 0.8334,                 3.8447,                0.94657,               0.076394,              0.0023941,              0.0023941
                      9,                0.95503,                 3.6144,                 1.0403,                 0.2036,                0.19024,                0.19765,                0.15835,                0.82368,                 3.7937,                0.93608,               0.073642,              0.0026416,              0.0026416
                     10,                0.86519,                 3.2241,                 1.0257,                0.11127,                0.30783,                0.24362,                0.19961,                0.75136,                 3.6012,                0.90258,               0.070883,              0.0028832,              0.0028832
                     11,                 0.9708,                 2.7763,                 1.0479,                0.08615,                0.36473,                 0.2701,                0.20501,                0.82232,                 3.4534,                0.94842,               0.068119,              0.0031189,              0.0031189
                     12,                0.93251,                 2.4562,                 1.0525,                0.11811,                0.52483,                0.29707,                0.22976,                0.82456,                 3.0675,                0.96755,               0.065349,              0.0033486,              0.0033486
                     13,                0.92592,                 2.2968,                 1.0432,                0.94251,                0.17771,                0.30099,                0.23699,                0.76954,                 2.7979,                 0.9545,               0.062572,              0.0035723,              0.0035723
                     14,                0.85784,                 2.1196,                0.99038,                0.96904,                0.21372,                0.32395,                0.24412,                0.90623,                 2.6992,                 1.0442,                0.05979,              0.0037902,              0.0037902
                     15,                0.89599,                 1.8865,                 1.0192,                0.96346,                0.20513,                 0.3442,                0.27755,                0.79101,                 2.6659,                 0.9929,               0.057002,              0.0040021,              0.0040021
                     16,                0.91393,                 1.7946,                 1.0365,                0.96884,                0.16326,                0.35181,                0.27496,                0.84737,                 2.7984,                  1.008,               0.054208,               0.004208,               0.004208
                     17,                0.91088,                 1.7167,                0.98318,                0.98579,                0.17172,                0.35605,                0.26299,                0.89463,                   2.79,                 1.0051,               0.051408,               0.004408,               0.004408
                     18,                0.93871,                 1.7141,                0.99665,                0.96523,                0.20034,                0.34071,                0.27834,                0.76092,                  2.799,                0.95582,               0.048602,              0.0046021,              0.0046021
                     19,                0.89937,                 1.5726,                0.98715,                0.97115,                0.19541,                0.35276,                0.25319,                0.90481,                 2.7335,                0.97878,                0.04579,              0.0047902,              0.0047902
                     20,                0.92845,                   1.63,                 1.0127,                0.06813,                0.73157,                0.31754,                0.25885,                0.80435,                 2.8562,                0.97057,               0.042972,              0.0049724,              0.0049724
                     21,                0.86422,                 1.5055,                0.96257,                0.06669,                0.71153,                0.34525,                0.25192,                0.99963,                 2.8547,                 1.0301,               0.040149,              0.0051487,              0.0051487
                     22,                0.92956,                 1.5214,                 1.0074,                0.24684,                0.54141,                0.35169,                0.27651,                0.84319,                 2.7611,                0.99602,               0.037319,               0.005319,               0.005319
                     23,                0.87919,                 1.5482,                 1.0001,                0.56207,                0.22406,                0.32813,                0.24132,                0.92909,                 2.7049,                 1.0174,               0.034483,              0.0054833,              0.0054833
                     24,                0.86072,                 1.4595,                 1.0173,                0.63362,                0.15297,                0.45055,                0.34969,                0.79264,                 2.4214,                0.93973,               0.031642,              0.0056418,              0.0056418
                     25,                0.99494,                 1.4451,                 1.0291,                0.67725,                0.25183,                0.46595,                0.33216,                0.98464,                 2.5542,                 1.0055,               0.028794,              0.0057942,              0.0057942
                     26,                 0.8725,                 1.5157,                 1.0029,                0.56549,                0.36173,                0.52331,                0.41879,                0.76162,                 2.3978,                0.94271,               0.025941,              0.0059408,              0.0059408
                     27,                0.85603,                 1.3378,                 1.0215,                0.61304,                0.50049,                0.59698,                 0.4818,                 0.7431,                  2.009,                0.92449,               0.023081,              0.0060814,              0.0060814
                     28,                 0.8526,                 1.2071,                0.97466,                0.61304,                0.50049,                0.59698,                 0.4818,                 0.7431,                  2.009,                0.92449,               0.020216,              0.0062161,              0.0062161
                     29,                0.85852,                  1.205,                0.98512,                0.59913,                0.59901,                0.61715,                0.47225,                0.82431,                 1.7722,                 0.9475,               0.017345,              0.0063448,              0.0063448
                     30,                0.91039,                 1.2589,                 1.0135,                0.59144,                 0.6479,                0.64175,                0.51979,                0.71696,                 1.3357,                0.90415,               0.014468,              0.0064676,              0.0064676
                     31,                0.90387,                 1.1624,                 1.0009,                0.63879,                0.70064,                0.68922,                0.52895,                0.82038,                  1.291,                0.93424,               0.011584,              0.0065844,              0.0065844
                     32,                0.91139,                 1.2566,                 1.0018,                0.63879,                0.70064,                0.68922,                0.52895,                0.82038,                  1.291,                0.93424,              0.0086954,              0.0066954,              0.0066954
                     33,                0.86354,                 1.1372,                0.96618,                0.58839,                 0.7562,                0.71412,                  0.566,                0.75645,                 1.4388,                0.91166,               0.006733,               0.006733,               0.006733
                     34,                0.89933,                  1.231,                 1.0258,                0.55601,                0.67586,                0.67754,                0.51878,                 0.7009,                 1.7087,                0.89584,               0.006733,               0.006733,               0.006733
                     35,                0.97651,                 1.3604,                 1.0164,                0.69813,                0.64544,                0.68384,                0.51108,                0.74482,                 1.4399,                0.91941,               0.006634,               0.006634,               0.006634
                     36,                0.84724,                 1.1055,                0.97238,                0.69813,                0.64544,                0.68384,                0.51108,                0.74482,                 1.4399,                0.91941,               0.006535,               0.006535,               0.006535
                     37,                0.86617,                   1.11,                 1.0034,                0.65674,                0.44789,                0.60223,                0.47087,                0.78471,                  2.283,                0.97068,               0.006436,               0.006436,               0.006436
                     38,                0.84356,                 1.1628,                 0.9763,                0.62722,                0.55808,                0.64722,                0.49198,                 0.8383,                 2.2831,                0.97797,               0.006337,               0.006337,               0.006337
                     39,                0.90144,                 1.1756,                0.98077,                0.60157,                0.43557,                0.56187,                0.40613,                0.98456,                 2.3538,                 1.0365,               0.006238,               0.006238,               0.006238
                     40,                0.89392,                 1.2456,                0.97737,                0.60157,                0.43557,                0.56187,                0.40613,                0.98456,                 2.3538,                 1.0365,               0.006139,               0.006139,               0.006139
                     41,                0.81959,                 1.0656,                0.96924,                0.66321,                0.31988,                0.47649,                0.36557,                 1.0379,                 2.5433,                 1.1171,                0.00604,                0.00604,                0.00604
                     42,                 0.8517,                 1.2427,                0.98696,                0.62667,                0.45176,                0.58515,                 0.4439,                0.91611,                 2.1923,                 1.0105,               0.005941,               0.005941,               0.005941
                     43,                 0.8211,                 1.2261,                 0.9822,                0.60928,                0.55663,                0.66946,                0.51856,                0.82273,                 1.9166,                0.95917,               0.005842,               0.005842,               0.005842
                     44,                0.86227,                 1.1536,                0.97782,                0.60928,                0.55663,                0.66946,                0.51856,                0.82273,                 1.9166,                0.95917,               0.005743,               0.005743,               0.005743
                     45,                0.81469,                  1.162,                0.98139,                0.67071,                0.53493,                0.66961,                0.51708,                0.83684,                 2.0679,                0.97041,               0.005644,               0.005644,               0.005644
                     46,                0.82099,                 1.0647,                0.95669,                0.59877,                0.48794,                0.60506,                0.43627,                 1.0277,                 2.1241,                 1.0741,               0.005545,               0.005545,               0.005545
                     47,                0.84543,                 1.0616,                0.98695,                0.66864,                0.44136,                0.52708,                0.39298,                 1.0285,                 2.2484,                 1.1105,               0.005446,               0.005446,               0.005446
                     48,                0.87403,                 1.1031,                0.98075,                0.66864,                0.44136,                0.52708,                0.39298,                 1.0285,                 2.2484,                 1.1105,               0.005347,               0.005347,               0.005347
                     49,                0.90015,                 1.1224,                0.99533,                0.61041,                0.50615,                0.59318,                0.46874,                0.94349,                 2.1165,                 1.0684,               0.005248,               0.005248,               0.005248
                     50,                0.83702,                 1.0213,                0.95915,                0.57881,                0.53109,                0.61303,                0.47803,                0.94453,                 2.0306,                 1.0655,               0.005149,               0.005149,               0.005149
                     51,                0.87171,                 1.1295,                 1.0109,                0.66164,                0.67034,                0.71493,                0.57989,                0.79518,                 1.5141,                0.96824,                0.00505,                0.00505,                0.00505
                     52,                 0.7989,                 1.0401,                0.96072,                0.66164,                0.67034,                0.71493,                0.57989,                0.79518,                 1.5141,                0.96824,               0.004951,               0.004951,               0.004951
                     53,                0.79852,                 1.0323,                0.98888,                0.61346,                0.66305,                0.70042,                0.59147,                0.71725,                 1.2597,                 0.9238,               0.004852,               0.004852,               0.004852
                     54,                0.82091,                 0.9938,                0.96803,                0.64775,                0.74545,                0.74405,                0.59295,                0.70693,                 1.0188,                 0.9147,               0.004753,               0.004753,               0.004753
                     55,                0.81234,                  1.036,                0.96461,                0.65546,                0.76649,                0.77938,                0.64845,                0.65863,                0.92561,                0.88709,               0.004654,               0.004654,               0.004654
                     56,                0.83352,                 1.0973,                0.97811,                0.65546,                0.76649,                0.77938,                0.64845,                0.65863,                0.92561,                0.88709,               0.004555,               0.004555,               0.004555
                     57,                0.81848,                 1.0288,                0.95265,                 0.6832,                0.69393,                0.73922,                0.60116,                0.72766,                 1.0887,                0.91853,               0.004456,               0.004456,               0.004456
                     58,                0.85709,                 0.9705,                0.97894,                0.70269,                0.70985,                0.75773,                0.62303,                0.68815,                 1.1462,                 0.9014,               0.004357,               0.004357,               0.004357
                     59,                0.76941,                 1.0459,                0.97402,                0.73089,                0.72527,                0.77727,                0.63885,                0.70329,                 1.2322,                0.90049,               0.004258,               0.004258,               0.004258
                     60,                0.75642,                0.95197,                0.93577,                0.73089,                0.72527,                0.77727,                0.63885,                0.70329,                 1.2322,                0.90049,               0.004159,               0.004159,               0.004159
                     61,                0.82208,                 1.0351,                0.95949,                0.83051,                0.72571,                0.80343,                0.64268,                0.71653,                 1.2374,                0.90845,                0.00406,                0.00406,                0.00406
                     62,                0.78671,                0.99415,                0.95968,                 0.8272,                0.75981,                0.83219,                 0.6636,                0.68574,                 1.0678,                 0.8986,               0.003961,               0.003961,               0.003961
                     63,                0.77724,                 1.0041,                0.95894,                0.82433,                0.84457,                 0.8989,                0.73331,                0.67105,                0.87472,                0.88358,               0.003862,               0.003862,               0.003862
                     64,                0.78301,                0.92865,                0.95213,                0.82433,                0.84457,                 0.8989,                0.73331,                0.67105,                0.87472,                0.88358,               0.003763,               0.003763,               0.003763
                     65,                0.76247,                0.91075,                0.93536,                0.91904,                0.80113,                0.92775,                0.76377,                0.67024,                0.83549,                0.88171,               0.003664,               0.003664,               0.003664
                     66,                0.76276,                0.91525,                0.94617,                0.88361,                 0.8978,                0.94304,                0.77658,                0.64213,                0.76582,                 0.8714,               0.003565,               0.003565,               0.003565
                     67,                0.77021,                0.95228,                0.94465,                0.95447,                0.87703,                0.94962,                0.79185,                0.63443,                0.73767,                0.86771,               0.003466,               0.003466,               0.003466
                     68,                0.79085,                0.95148,                0.97032,                0.95447,                0.87703,                0.94962,                0.79185,                0.63443,                0.73767,                0.86771,               0.003367,               0.003367,               0.003367
                     69,                0.80208,                0.92856,                0.97331,                0.96017,                0.90063,                0.95163,                0.79783,                0.63769,                0.74115,                 0.8665,               0.003268,               0.003268,               0.003268
                     70,                0.82481,                0.92754,                0.97098,                0.96602,                0.92067,                0.95781,                0.79478,                0.63553,                0.72364,                0.86677,               0.003169,               0.003169,               0.003169
                     71,                0.70977,                0.83105,                0.92793,                0.97596,                0.91079,                0.95821,                0.79696,                0.62929,                0.73195,                0.86395,                0.00307,                0.00307,                0.00307
                     72,                0.70654,                0.86843,                 0.9331,                0.97596,                0.91079,                0.95821,                0.79696,                0.62929,                0.73195,                0.86395,               0.002971,               0.002971,               0.002971
                     73,                0.77462,                0.88953,                0.95047,                0.96968,                0.91274,                0.95827,                0.80439,                0.61822,                0.72726,                0.86355,               0.002872,               0.002872,               0.002872
                     74,                0.72034,                0.88112,                0.92787,                0.95382,                0.91559,                0.95967,                0.80893,                0.62522,                0.70447,                0.86471,               0.002773,               0.002773,               0.002773
                     75,                0.74448,                0.90042,                0.92275,                0.94333,                0.93333,                0.96012,                0.80934,                0.62358,                0.67174,                 0.8651,               0.002674,               0.002674,               0.002674
                     76,                0.77062,                0.89729,                0.94243,                0.94333,                0.93333,                0.96012,                0.80934,                0.62358,                0.67174,                 0.8651,               0.002575,               0.002575,               0.002575
                     77,                0.70927,                0.86773,                0.92529,                0.95452,                0.91889,                0.96121,                0.81712,                0.61339,                0.67694,                0.85945,               0.002476,               0.002476,               0.002476
                     78,                0.71739,                0.88178,                0.94145,                0.94836,                 0.9347,                0.96338,                0.81658,                0.60849,                0.67722,                0.85774,               0.002377,               0.002377,               0.002377
                     79,                0.75064,                0.85753,                0.92535,                 0.9607,                 0.9326,                0.96571,                0.82253,                0.60287,                0.67433,                 0.8591,               0.002278,               0.002278,               0.002278
                     80,                0.74047,                0.85688,                0.94004,                 0.9607,                 0.9326,                0.96571,                0.82253,                0.60287,                0.67433,                 0.8591,               0.002179,               0.002179,               0.002179
                     81,                0.75136,                0.87718,                0.95466,                0.96113,                0.92503,                0.96717,                0.81759,                0.59989,                0.65728,                0.86132,                0.00208,                0.00208,                0.00208
                     82,                0.75404,                0.85137,                0.95101,                0.95914,                0.93362,                0.96886,                0.82744,                0.59747,                0.64958,                0.85914,               0.001981,               0.001981,               0.001981
                     83,                0.71577,                0.87095,                0.95063,                0.97259,                0.93293,                0.97008,                0.83538,                0.58921,                0.65749,                0.85466,               0.001882,               0.001882,               0.001882
                     84,                0.67512,                0.77132,                0.92721,                0.97259,                0.93293,                0.97008,                0.83538,                0.58921,                0.65749,                0.85466,               0.001783,               0.001783,               0.001783
                     85,                0.75353,                0.91554,                0.95882,                0.97042,                0.93554,                0.97142,                0.83898,                0.58293,                0.66223,                0.85356,               0.001684,               0.001684,               0.001684
                     86,                0.75211,                0.88059,                0.94078,                0.97437,                0.93816,                0.97038,                0.83795,                0.58623,                 0.6761,                0.85507,               0.001585,               0.001585,               0.001585
                     87,                0.75839,                0.86837,                0.96746,                0.96637,                0.93484,                0.97257,                0.84847,                0.58482,                0.67344,                0.85515,               0.001486,               0.001486,               0.001486
                     88,                0.73639,                0.82492,                0.94495,                0.96637,                0.93484,                0.97257,                0.84847,                0.58482,                0.67344,                0.85515,               0.001387,               0.001387,               0.001387
                     89,                0.69725,                0.83411,                 0.9521,                0.95285,                   0.95,                0.97276,                0.84702,                0.59198,                0.67079,                0.85623,               0.001288,               0.001288,               0.001288
                     90,                0.66614,                0.85353,                0.89723,                0.95765,                0.94399,                0.97078,                0.84739,                0.58638,                0.67685,                0.85579,               0.001189,               0.001189,               0.001189
                     91,                0.65877,                0.80783,                 0.8997,                0.96972,                0.93665,                0.97364,                0.85039,                0.57885,                0.67423,                0.85394,                0.00109,                0.00109,                0.00109
                     92,                0.61804,                 0.8131,                 0.8982,                0.96972,                0.93665,                0.97364,                0.85039,                0.57885,                0.67423,                0.85394,               0.000991,               0.000991,               0.000991
                     93,                 0.6372,                 0.8374,                0.91926,                0.96698,                0.94001,                0.97304,                0.85012,                0.57732,                0.67673,                0.85477,               0.000892,               0.000892,               0.000892
                     94,                0.64521,                0.81087,                0.91218,                 0.9632,                0.93954,                 0.9745,                0.85152,                0.56826,                0.67219,                0.85339,               0.000793,               0.000793,               0.000793
                     95,                0.61051,                0.81669,                0.86647,                0.96198,                0.93875,                0.97448,                0.85322,                0.56212,                0.66044,                0.85144,               0.000694,               0.000694,               0.000694
                     96,                0.60997,                0.79277,                0.89472,                0.96198,                0.93875,                0.97448,                0.85322,                0.56212,                0.66044,                0.85144,               0.000595,               0.000595,               0.000595
                     97,                0.65214,                0.80294,                 0.9226,                0.96618,                0.93209,                0.97316,                0.84956,                0.55637,                0.65103,                0.84979,               0.000496,               0.000496,               0.000496
                     98,                0.64026,                0.80416,                0.90872,                0.97084,                0.92771,                0.97408,                0.85094,                0.55387,                0.64066,                0.84822,               0.000397,               0.000397,               0.000397
                     99,                0.61116,                 0.7511,                0.88656,                0.97052,                0.92894,                0.97457,                0.85197,                0.55123,                0.62644,                0.84657,               0.000298,               0.000298,               0.000298
